CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE,CRIM_scaled,ZN_scaled,INDUS_scaled,NOX_scaled,RM_scaled,AGE_scaled,DIS_scaled,RAD_scaled,TAX_scaled,PTRATIO_scaled,B_scaled,LSTAT_scaled,PRICE_scaled,RM_AGE_interaction,distance_mean,environment_score
0.234634045,62,22.3274895553,0,0.7903963398,6.4054246135,22.4686323446,11.7167241956,11,347.7339623134,17.3704131474,384.5658161695,3.7646446343,18045.7080310764,0.1493299779,0.6262626263000001,0.7446704348000001,0.9788469012000001,0.5927108488,0.029006353800000002,0.97649513,0.4347826087,0.29610537400000003,0.5365949202,0.9622507747000001,0.0762274934,0.5979686602000001,143.9211306518,11.3583620978,11.5589429476
1.5050607155,16,6.1673942513,0,0.6669401592,6.2437905585,24.1516239615,1.7678072008,16,464.9851705107,20.399977606,254.3643062839,15.8934171488,19301.4045659842,0.9667163659,0.1616161616,0.20552397290000002,0.6692435081,0.5508023783,0.0501655463,0.0670296237,0.652173913,0.5318552807,0.8414779262000001,0.6357587021000001,0.4134002532,0.6248603795000001,150.7976816633,8.8839036004,3.4171672053
0.6583728468000001,72,23.6336966614,0,0.4041710798,5.1726400044,31.3736357363,7.1015648076,17,539.1959427515,15.3932283566,306.347370265,25.4399441388,11339.0639225682,0.42196147780000004,0.7272727273,0.7882491964,0.0102712461,0.2730745109,0.1409633466,0.5546071726,0.6956521739,0.6810663881,0.3376191101,0.7661109408,0.6787881024,0.4543406533,162.2845232931,12.0507824038,12.0189338706
0.4564712769,32,18.1116459519,0,0.5021653939,6.5848459945,37.0714678381,9.2257378474,19,496.3854704351,19.0889911277,31.6852600033,9.5247130764,13089.207809339,0.2920589822,0.3232323232,0.6040179745,0.2560213738,0.6392312164,0.21259859690000002,0.7487853038000001,0.7826086957,0.5949899629000001,0.7095455961,0.0773708354,0.23635401660000002,0.4918213477,244.1099065039,14.1128689237,9.3069056729
0.08481243520000001,83,3.4280190017,0,0.50428532,5.1612711772,73.2116955391,9.9128444537,18,274.1801686448,21.9378397538,18.823351784,4.0226522841,14207.0165330385,0.0529354773,0.8383838384000001,0.1141306707,0.2613377242,0.2701268019,0.6669668921,0.8115961361,0.7391304348000001,0.1482152136,0.9962420980000001,0.0451184362,0.0833999547,0.5157600921000001,377.8654140199,13.9564222268,1.9661521609000001
0.084798146,76,12.4351375261,0,0.4277017225,6.7204552539,32.5861024001,5.5521021185,3,286.0430162263,15.1462890894,7.7792201472,28.7207642244,21524.071646217,0.0529262837,0.7676767677,0.4146336067,0.0692813887,0.6743919791,0.1562069254,0.4129653366,0.0869565217,0.1720671231,0.3127681499,0.0174242764,0.7699929759,0.6724605261000001,218.9934430789,4.2760510592,6.4314196243
0.0299193843,91,25.9055442184,0,0.7839306072000001,6.481504329,29.5099512942,3.2458321509,21,639.3846248965,18.7401753488,75.5176111094,23.6863030559,12193.7267713669,0.0176175533,0.9191919192,0.8640444531,0.9626321379,0.6124367940000001,0.1175324172,0.20214108460000002,0.8695652174,0.8825097065,0.6744421993,0.18728442380000002,0.6300379092,0.47264392380000003,191.2688770619,12.1229160755,13.3447374128
1.0056154322,28,27.688806954,0,0.5913021178,6.2937658658,81.1775313181,1.4657650665,16,479.1761575321,20.4431486415,165.7633590874,36.5856574415,6312.0388241239,0.6453756812,0.2828282828,0.9235391390000001,0.47955843800000003,0.5637599738,0.7671163227000001,0.0394188895,0.652173913,0.5603882392,0.8458224830000001,0.41358380640000003,0.9886323929,0.3466829956,510.9123756798,8.7328825333,14.1400545359
0.4595410768,12,13.9710036696,0,0.7583258389,5.7361033886,73.6844227088,7.3769877281,6,634.9689164488,21.1580758335,374.3304533611,13.3950891995,6545.0265625907,0.2940340766,0.12121212120000001,0.4658744429,0.8984205034,0.4191692718,0.6729101928,0.5797845508,0.2173913043,0.8736313089000001,0.9177698386,0.9365846759,0.34394820200000004,0.3516726095,422.661466787,6.688493864,7.3646647542
0.6156250309,45,14.4251093427,0,0.5288862014,6.4030458479,54.8259377164,5.9820217729000005,12,385.7732556599,19.1793269094,182.8238637063,3.2234459064,22114.1475839673,0.3944577394,0.4545454545,0.4810246919,0.3230318113,0.5920940826000001,0.4358143519,0.4522658048,0.4782608696,0.3725886785,0.7186366205,0.45636456610000004,0.061182486300000005,0.6850974618,351.0529928522,8.9910108865,7.4769977721
